pay_id,direct_labour_or_contractor,training_result,proficiency,multi_skill_or_single_skill,primary_skill,secondary_skill
ENG00816,Direct Labour,Distinction,Beginner,Single Skill,Service,Repair
ENG00817,Contractor,Merit,Beginner,Multi Skill,Installation,Service
ENG00818,Direct Labour,Distinction,Intermediate,Multi Skill,Repair,Installation
ENG00819,Direct Labour,Pass,Intermediate,Single Skill,Service,None
ENG00820,Contractor,Pass,Intermediate,Multi Skill,Service,Installation
ENG00821,Direct Labour,Distinction,Expert,Single Skill,Installation,Installation
ENG00822,Contractor,Distinction,Expert,Multi Skill,Installation,Repair
ENG00823,Direct Labour,Distinction,Beginner,Single Skill,Installation,Service
ENG00824,Contractor,Distinction,Beginner,Single Skill,Service,Installation
ENG00825,Direct Labour,Pass,Expert,Multi Skill,Repair,Installation
ENG00826,Direct Labour,Pass,Expert,Multi Skill,Installation,None
ENG00827,Direct Labour,Pass,Beginner,Single Skill,Service,None
ENG00828,Contractor,Distinction,Expert,Single Skill,Installation,None
ENG00829,Direct Labour,Merit,Beginner,Multi Skill,Service,Service
ENG00830,Contractor,Pass,Beginner,Single Skill,Installation,Service
ENG00831,Contractor,Pass,Intermediate,Single Skill,Installation,Repair
ENG00832,Direct Labour,Merit,Intermediate,Multi Skill,Installation,None
ENG00833,Direct Labour,Pass,Beginner,Multi Skill,Repair,None
ENG00834,Direct Labour,Pass,Beginner,Single Skill,Repair,Repair
ENG00835,Contractor,Pass,Beginner,Single Skill,Installation,Installation
ENG00836,Direct Labour,Pass,Intermediate,Single Skill,Repair,None
ENG00837,Contractor,Pass,Beginner,Single Skill,Installation,Service
ENG00838,Contractor,Merit,Beginner,Single Skill,Installation,Service
ENG00839,Direct Labour,Merit,Beginner,Multi Skill,Service,Installation
ENG00840,Contractor,Merit,Beginner,Single Skill,Service,Installation
ENG00841,Direct Labour,Merit,Intermediate,Single Skill,Repair,Service
ENG00842,Direct Labour,Merit,Expert,Single Skill,Installation,Repair
ENG00843,Contractor,Distinction,Beginner,Multi Skill,Repair,Service
ENG00844,Direct Labour,Distinction,Beginner,Multi Skill,Service,Repair
ENG00845,Contractor,Merit,Intermediate,Multi Skill,Installation,None
ENG00846,Contractor,Pass,Expert,Multi Skill,Repair,Installation
ENG00847,Contractor,Distinction,Intermediate,Single Skill,Repair,Repair
ENG00848,Direct Labour,Distinction,Intermediate,Multi Skill,Repair,Repair
ENG00849,Contractor,Pass,Beginner,Multi Skill,Installation,None
ENG00850,Contractor,Merit,Intermediate,Multi Skill,Service,None
ENG00851,Contractor,Distinction,Expert,Single Skill,Repair,Repair
ENG00852,Direct Labour,Pass,Intermediate,Multi Skill,Service,None
ENG00853,Contractor,Merit,Beginner,Multi Skill,Installation,Service
ENG00854,Contractor,Merit,Intermediate,Single Skill,Repair,Service
ENG00855,Contractor,Pass,Intermediate,Single Skill,Installation,Installation
ENG00856,Contractor,Merit,Expert,Multi Skill,Installation,Installation
ENG00857,Direct Labour,Merit,Expert,Single Skill,Installation,Repair
ENG00858,Direct Labour,Pass,Beginner,Multi Skill,Repair,None
ENG00859,Direct Labour,Merit,Intermediate,Single Skill,Service,Service
ENG00860,Contractor,Merit,Intermediate,Multi Skill,Service,Repair
ENG00861,Direct Labour,Distinction,Beginner,Single Skill,Service,Repair
ENG00862,Contractor,Pass,Expert,Multi Skill,Service,None
ENG00863,Contractor,Distinction,Expert,Single Skill,Repair,None
ENG00864,Direct Labour,Merit,Beginner,Single Skill,Installation,Service
ENG00865,Contractor,Pass,Beginner,Single Skill,Repair,Installation
ENG00866,Direct Labour,Distinction,Expert,Multi Skill,Service,Repair
ENG00867,Direct Labour,Merit,Intermediate,Single Skill,Installation,Installation
ENG00868,Direct Labour,Merit,Intermediate,Multi Skill,Installation,Service
ENG00869,Contractor,Merit,Beginner,Multi Skill,Installation,None
ENG00870,Contractor,Merit,Expert,Multi Skill,Installation,Repair
ENG00871,Direct Labour,Pass,Expert,Multi Skill,Service,Service
ENG00872,Contractor,Distinction,Expert,Multi Skill,Repair,Repair
ENG00873,Contractor,Pass,Expert,Multi Skill,Service,None
ENG00874,Direct Labour,Distinction,Beginner,Multi Skill,Repair,None
ENG00875,Direct Labour,Merit,Beginner,Single Skill,Service,Installation
ENG00876,Contractor,Merit,Beginner,Multi Skill,Repair,Service
ENG00877,Direct Labour,Distinction,Beginner,Single Skill,Repair,Service
ENG00878,Direct Labour,Pass,Beginner,Single Skill,Service,Repair
ENG00879,Contractor,Merit,Intermediate,Single Skill,Installation,None
ENG00880,Direct Labour,Distinction,Intermediate,Multi Skill,Repair,Repair
ENG00881,Direct Labour,Distinction,Beginner,Multi Skill,Service,None
ENG00882,Contractor,Distinction,Beginner,Single Skill,Service,Installation
ENG00883,Direct Labour,Pass,Intermediate,Single Skill,Installation,None
ENG00884,Contractor,Pass,Beginner,Multi Skill,Repair,Service
ENG00885,Contractor,Merit,Expert,Single Skill,Service,Repair
ENG00886,Contractor,Merit,Intermediate,Multi Skill,Repair,Service
ENG00887,Contractor,Distinction,Beginner,Single Skill,Service,Repair
ENG00888,Direct Labour,Pass,Intermediate,Multi Skill,Repair,Installation
ENG00889,Direct Labour,Pass,Beginner,Multi Skill,Repair,Installation
ENG00890,Direct Labour,Pass,Beginner,Multi Skill,Installation,None
ENG00891,Direct Labour,Pass,Beginner,Single Skill,Service,Repair
ENG00892,Contractor,Distinction,Beginner,Single Skill,Service,Installation
ENG00893,Direct Labour,Pass,Intermediate,Multi Skill,Repair,Repair
ENG00894,Contractor,Merit,Expert,Multi Skill,Service,Installation
ENG00895,Direct Labour,Merit,Beginner,Single Skill,Service,Repair
ENG00896,Direct Labour,Merit,Intermediate,Single Skill,Service,Installation
ENG00897,Direct Labour,Distinction,Beginner,Single Skill,Service,None
ENG00898,Direct Labour,Pass,Expert,Multi Skill,Service,Installation
ENG00899,Contractor,Pass,Beginner,Single Skill,Repair,Repair
ENG00900,Contractor,Pass,Expert,Multi Skill,Service,None
ENG00901,Direct Labour,Distinction,Intermediate,Multi Skill,Installation,Service
ENG00902,Contractor,Merit,Beginner,Single Skill,Service,Installation
ENG00903,Contractor,Merit,Intermediate,Multi Skill,Repair,Service
ENG00904,Contractor,Merit,Intermediate,Multi Skill,Service,Service
ENG00905,Contractor,Merit,Expert,Multi Skill,Service,Service
ENG00906,Direct Labour,Merit,Intermediate,Single Skill,Repair,Service
ENG00907,Direct Labour,Distinction,Expert,Multi Skill,Repair,Installation
ENG00908,Direct Labour,Merit,Expert,Multi Skill,Service,None
ENG00909,Direct Labour,Distinction,Expert,Single Skill,Installation,Installation
ENG00910,Contractor,Distinction,Intermediate,Multi Skill,Installation,Service
ENG00911,Direct Labour,Distinction,Intermediate,Single Skill,Installation,Installation
ENG00912,Direct Labour,Pass,Beginner,Single Skill,Repair,Service
ENG00913,Contractor,Distinction,Intermediate,Single Skill,Service,Repair
ENG00914,Direct Labour,Pass,Beginner,Single Skill,Repair,Installation
ENG00915,Contractor,Merit,Intermediate,Multi Skill,Repair,Repair
ENG00916,Contractor,Merit,Intermediate,Multi Skill,Service,None
ENG00917,Contractor,Merit,Expert,Single Skill,Repair,Repair
ENG00918,Direct Labour,Merit,Beginner,Single Skill,Installation,Service
ENG00919,Contractor,Pass,Beginner,Multi Skill,Service,Installation
ENG00920,Contractor,Merit,Expert,Single Skill,Service,Repair
ENG00921,Direct Labour,Pass,Expert,Multi Skill,Service,None
ENG00922,Contractor,Merit,Expert,Single Skill,Service,Repair
ENG00923,Contractor,Distinction,Beginner,Single Skill,Service,Repair
ENG00924,Direct Labour,Pass,Expert,Multi Skill,Service,Installation
ENG00925,Direct Labour,Distinction,Beginner,Single Skill,Installation,None
ENG00926,Direct Labour,Merit,Intermediate,Single Skill,Service,Service
ENG00927,Contractor,Pass,Expert,Single Skill,Service,Installation
ENG00928,Contractor,Distinction,Expert,Single Skill,Service,Service
ENG00929,Direct Labour,Merit,Intermediate,Single Skill,Service,Service
ENG00930,Contractor,Merit,Beginner,Multi Skill,Service,Installation
ENG00931,Contractor,Merit,Expert,Single Skill,Service,Installation
ENG00932,Contractor,Pass,Intermediate,Multi Skill,Repair,Repair
ENG00933,Contractor,Distinction,Intermediate,Single Skill,Installation,Repair
ENG00934,Direct Labour,Merit,Expert,Multi Skill,Installation,None
ENG00935,Contractor,Merit,Beginner,Single Skill,Repair,None
ENG00936,Contractor,Pass,Beginner,Single Skill,Installation,Service
ENG00937,Contractor,Merit,Beginner,Single Skill,Service,Service
ENG00938,Contractor,Merit,Intermediate,Single Skill,Installation,None
ENG00939,Contractor,Merit,Beginner,Single Skill,Installation,Service
ENG00940,Contractor,Merit,Expert,Multi Skill,Service,None
ENG00941,Direct Labour,Distinction,Expert,Single Skill,Service,Repair
ENG00942,Contractor,Distinction,Beginner,Single Skill,Repair,Repair
ENG00943,Contractor,Distinction,Expert,Single Skill,Service,Repair
ENG00944,Contractor,Distinction,Intermediate,Single Skill,Installation,Service
ENG00945,Contractor,Merit,Intermediate,Multi Skill,Service,None
ENG00946,Direct Labour,Pass,Intermediate,Multi Skill,Installation,Repair
ENG00947,Contractor,Pass,Expert,Multi Skill,Repair,None
ENG00948,Contractor,Merit,Intermediate,Single Skill,Installation,Service
ENG00949,Direct Labour,Merit,Beginner,Multi Skill,Service,Service
ENG00950,Contractor,Distinction,Intermediate,Multi Skill,Service,None
ENG00951,Direct Labour,Pass,Expert,Single Skill,Service,Service
ENG00952,Direct Labour,Distinction,Beginner,Multi Skill,Installation,None
ENG00953,Direct Labour,Pass,Beginner,Single Skill,Installation,Service
ENG00954,Direct Labour,Merit,Beginner,Multi Skill,Installation,Service
ENG00955,Direct Labour,Distinction,Expert,Multi Skill,Service,Installation
ENG00956,Direct Labour,Distinction,Beginner,Multi Skill,Repair,Repair
ENG00957,Contractor,Distinction,Intermediate,Multi Skill,Installation,None
ENG00958,Contractor,Merit,Beginner,Multi Skill,Installation,Repair
ENG00959,Contractor,Distinction,Intermediate,Single Skill,Repair,Service
ENG00960,Contractor,Distinction,Beginner,Single Skill,Installation,None
ENG00961,Contractor,Distinction,Beginner,Single Skill,Repair,Installation
ENG00962,Contractor,Merit,Intermediate,Multi Skill,Repair,Installation
ENG00963,Contractor,Pass,Expert,Single Skill,Service,Service
ENG00964,Direct Labour,Pass,Beginner,Single Skill,Installation,None
ENG00965,Contractor,Distinction,Beginner,Single Skill,Service,Service
ENG00966,Direct Labour,Distinction,Beginner,Single Skill,Installation,Installation
ENG00967,Contractor,Pass,Expert,Single Skill,Repair,Repair
ENG00968,Direct Labour,Merit,Expert,Multi Skill,Service,None
ENG00969,Direct Labour,Distinction,Expert,Multi Skill,Repair,Service
ENG00970,Contractor,Merit,Intermediate,Multi Skill,Service,Service
ENG00971,Contractor,Pass,Intermediate,Multi Skill,Installation,Installation
ENG00972,Direct Labour,Pass,Expert,Multi Skill,Installation,Installation
ENG00973,Contractor,Distinction,Expert,Single Skill,Installation,Installation
ENG00974,Contractor,Merit,Expert,Single Skill,Installation,Installation
ENG00975,Direct Labour,Distinction,Beginner,Single Skill,Installation,Service
ENG00976,Contractor,Merit,Intermediate,Multi Skill,Repair,None
ENG00977,Direct Labour,Distinction,Beginner,Multi Skill,Service,None
ENG00978,Direct Labour,Distinction,Expert,Multi Skill,Service,None
ENG00979,Direct Labour,Distinction,Beginner,Multi Skill,Service,Installation
ENG00980,Direct Labour,Distinction,Expert,Single Skill,Repair,None
ENG00981,Direct Labour,Distinction,Beginner,Single Skill,Installation,Installation
ENG00982,Contractor,Pass,Beginner,Multi Skill,Repair,Installation
ENG00983,Contractor,Merit,Expert,Single Skill,Installation,None
ENG00984,Contractor,Pass,Intermediate,Single Skill,Installation,Repair
ENG00985,Direct Labour,Merit,Beginner,Single Skill,Installation,None
ENG00986,Contractor,Pass,Intermediate,Single Skill,Installation,Installation
ENG00987,Contractor,Merit,Expert,Single Skill,Installation,Repair
ENG00988,Contractor,Pass,Intermediate,Single Skill,Service,Service
ENG00989,Direct Labour,Distinction,Beginner,Single Skill,Installation,Installation
ENG00990,Contractor,Merit,Beginner,Multi Skill,Installation,Installation
ENG00991,Contractor,Distinction,Beginner,Single Skill,Service,Repair
ENG00992,Contractor,Merit,Expert,Single Skill,Repair,Repair
ENG00993,Contractor,Merit,Beginner,Multi Skill,Installation,None
ENG00994,Contractor,Distinction,Expert,Single Skill,Installation,Installation
ENG00995,Direct Labour,Merit,Beginner,Multi Skill,Installation,Installation
ENG00996,Direct Labour,Pass,Expert,Multi Skill,Service,Repair
ENG00997,Contractor,Distinction,Beginner,Multi Skill,Installation,None
ENG00998,Direct Labour,Pass,Expert,Single Skill,Installation,Installation
ENG00999,Direct Labour,Merit,Intermediate,Multi Skill,Installation,Repair
ENG01000,Direct Labour,Merit,Intermediate,Single Skill,Repair,Installation
ENG01001,Contractor,Pass,Expert,Single Skill,Installation,Installation
ENG01002,Contractor,Pass,Beginner,Multi Skill,Installation,Service
ENG01003,Contractor,Merit,Intermediate,Multi Skill,Repair,Repair
ENG01004,Contractor,Pass,Expert,Multi Skill,Installation,Installation
ENG01005,Direct Labour,Merit,Beginner,Multi Skill,Service,Installation
ENG01006,Direct Labour,Pass,Beginner,Multi Skill,Repair,Installation
ENG01007,Direct Labour,Distinction,Beginner,Single Skill,Repair,Repair
ENG01008,Direct Labour,Pass,Beginner,Single Skill,Installation,Installation
ENG01009,Direct Labour,Merit,Expert,Single Skill,Installation,Service
ENG01010,Contractor,Pass,Expert,Multi Skill,Repair,Installation
ENG01011,Contractor,Pass,Beginner,Single Skill,Installation,Installation
ENG01012,Contractor,Distinction,Expert,Multi Skill,Installation,Service
ENG01013,Direct Labour,Pass,Beginner,Single Skill,Installation,None
ENG01014,Direct Labour,Merit,Expert,Single Skill,Repair,Installation
ENG01015,Direct Labour,Pass,Beginner,Multi Skill,Service,Service
ENG01016,Direct Labour,Merit,Beginner,Multi Skill,Repair,Repair
ENG01017,Direct Labour,Pass,Beginner,Single Skill,Service,Installation
ENG01018,Direct Labour,Pass,Expert,Multi Skill,Service,None
ENG01019,Direct Labour,Pass,Expert,Single Skill,Service,Repair
ENG01020,Direct Labour,Merit,Intermediate,Single Skill,Service,Repair
ENG01021,Contractor,Pass,Intermediate,Single Skill,Repair,Repair
ENG01022,Contractor,Merit,Expert,Single Skill,Repair,None
ENG01023,Contractor,Pass,Intermediate,Multi Skill,Installation,None
ENG01024,Contractor,Distinction,Intermediate,Single Skill,Installation,Service
ENG01025,Contractor,Pass,Beginner,Single Skill,Repair,Service
ENG01026,Contractor,Pass,Intermediate,Multi Skill,Installation,Repair
ENG01027,Direct Labour,Distinction,Beginner,Multi Skill,Service,Repair
ENG01028,Contractor,Merit,Intermediate,Multi Skill,Repair,Installation
ENG01029,Direct Labour,Distinction,Beginner,Single Skill,Repair,Repair
ENG01030,Contractor,Pass,Expert,Multi Skill,Service,None
ENG01031,Direct Labour,Merit,Intermediate,Multi Skill,Service,None
ENG01032,Contractor,Pass,Intermediate,Single Skill,Installation,Installation
ENG01033,Direct Labour,Distinction,Expert,Multi Skill,Installation,None
ENG01034,Contractor,Distinction,Beginner,Single Skill,Repair,Repair
ENG01035,Direct Labour,Pass,Intermediate,Single Skill,Service,Installation
ENG01036,Contractor,Merit,Expert,Single Skill,Repair,Installation
ENG01037,Contractor,Distinction,Expert,Multi Skill,Installation,Service
ENG01038,Contractor,Pass,Beginner,Multi Skill,Service,None
ENG01039,Direct Labour,Merit,Expert,Single Skill,Service,Repair
ENG01040,Direct Labour,Distinction,Intermediate,Single Skill,Repair,Service
ENG01041,Direct Labour,Distinction,Beginner,Single Skill,Service,None
ENG01042,Contractor,Pass,Intermediate,Single Skill,Service,Repair
ENG01043,Contractor,Distinction,Expert,Single Skill,Installation,Service
ENG01044,Contractor,Merit,Beginner,Multi Skill,Repair,None
ENG01045,Direct Labour,Merit,Intermediate,Single Skill,Installation,None
ENG01046,Contractor,Distinction,Intermediate,Single Skill,Service,Service
ENG01047,Direct Labour,Merit,Intermediate,Single Skill,Service,Installation
ENG01048,Contractor,Pass,Intermediate,Single Skill,Service,None
ENG01049,Direct Labour,Pass,Intermediate,Multi Skill,Repair,Service
ENG01050,Direct Labour,Distinction,Beginner,Multi Skill,Repair,Installation
ENG01051,Direct Labour,Distinction,Intermediate,Single Skill,Repair,Installation
ENG01052,Contractor,Pass,Expert,Multi Skill,Installation,Repair
ENG01053,Direct Labour,Pass,Expert,Single Skill,Installation,Installation
ENG01054,Contractor,Merit,Intermediate,Single Skill,Installation,Repair
ENG01055,Contractor,Distinction,Beginner,Multi Skill,Repair,None
ENG01056,Direct Labour,Distinction,Beginner,Single Skill,Installation,Repair
ENG01057,Direct Labour,Pass,Beginner,Multi Skill,Installation,Service
ENG01058,Contractor,Distinction,Expert,Multi Skill,Installation,Service
ENG01059,Contractor,Pass,Intermediate,Multi Skill,Service,Installation
ENG01060,Contractor,Pass,Beginner,Single Skill,Installation,Repair
ENG01061,Contractor,Pass,Beginner,Multi Skill,Installation,Service
ENG01062,Contractor,Pass,Intermediate,Multi Skill,Repair,Installation
ENG01063,Contractor,Merit,Intermediate,Single Skill,Service,None
ENG01064,Direct Labour,Distinction,Beginner,Multi Skill,Installation,Service
ENG01065,Direct Labour,Distinction,Expert,Single Skill,Installation,Installation
ENG01066,Direct Labour,Merit,Beginner,Single Skill,Service,Repair
ENG01067,Direct Labour,Merit,Beginner,Single Skill,Service,Service
ENG01068,Direct Labour,Merit,Beginner,Single Skill,Repair,None
ENG01069,Direct Labour,Pass,Expert,Single Skill,Service,Repair
ENG01070,Direct Labour,Pass,Intermediate,Single Skill,Installation,Repair
ENG01071,Direct Labour,Pass,Expert,Multi Skill,Installation,Installation
ENG01072,Direct Labour,Distinction,Beginner,Single Skill,Repair,None
ENG01073,Contractor,Distinction,Intermediate,Multi Skill,Service,Installation
ENG01074,Contractor,Distinction,Intermediate,Single Skill,Installation,Service
ENG01075,Contractor,Pass,Expert,Multi Skill,Service,Installation
ENG01076,Contractor,Pass,Beginner,Multi Skill,Repair,Installation
ENG01077,Contractor,Merit,Intermediate,Multi Skill,Installation,Repair
ENG01078,Direct Labour,Pass,Intermediate,Single Skill,Installation,None
ENG01079,Contractor,Pass,Beginner,Multi Skill,Repair,Installation
ENG01080,Contractor,Distinction,Intermediate,Multi Skill,Installation,Installation
ENG01081,Direct Labour,Merit,Beginner,Single Skill,Installation,None
ENG01082,Contractor,Pass,Intermediate,Multi Skill,Installation,Service
ENG01083,Contractor,Pass,Expert,Multi Skill,Installation,Repair
ENG01084,Contractor,Merit,Expert,Single Skill,Service,Installation
ENG01085,Direct Labour,Pass,Beginner,Multi Skill,Service,Repair
ENG01086,Direct Labour,Merit,Beginner,Single Skill,Service,Repair
ENG01087,Contractor,Pass,Beginner,Single Skill,Repair,Installation
ENG01088,Direct Labour,Distinction,Expert,Single Skill,Repair,None
ENG01089,Direct Labour,Pass,Expert,Single Skill,Service,None
ENG01090,Direct Labour,Distinction,Beginner,Multi Skill,Installation,None
ENG01091,Contractor,Pass,Expert,Single Skill,Repair,None
ENG01092,Direct Labour,Pass,Intermediate,Single Skill,Repair,Repair
ENG01093,Contractor,Pass,Intermediate,Multi Skill,Installation,Installation
ENG01094,Direct Labour,Distinction,Beginner,Multi Skill,Installation,Installation
ENG01095,Contractor,Pass,Beginner,Single Skill,Installation,Service
ENG01096,Direct Labour,Pass,Intermediate,Multi Skill,Service,Installation
ENG01097,Contractor,Pass,Beginner,Multi Skill,Service,Repair
ENG01098,Contractor,Merit,Expert,Single Skill,Service,None
ENG01099,Contractor,Pass,Expert,Multi Skill,Service,Service
ENG01100,Direct Labour,Pass,Beginner,Single Skill,Repair,Installation
ENG01101,Direct Labour,Pass,Expert,Multi Skill,Service,None
ENG01102,Direct Labour,Distinction,Beginner,Single Skill,Installation,Service
ENG01103,Direct Labour,Pass,Beginner,Multi Skill,Service,None
ENG01104,Direct Labour,Distinction,Expert,Multi Skill,Repair,Installation
ENG01105,Direct Labour,Pass,Beginner,Multi Skill,Repair,Repair
ENG01106,Contractor,Pass,Expert,Single Skill,Installation,None
ENG01107,Direct Labour,Distinction,Intermediate,Single Skill,Installation,Repair
ENG01108,Contractor,Pass,Expert,Multi Skill,Service,Repair
ENG01109,Direct Labour,Distinction,Beginner,Single Skill,Repair,Repair
ENG01110,Direct Labour,Distinction,Expert,Multi Skill,Repair,None
ENG01111,Contractor,Merit,Intermediate,Multi Skill,Service,Repair
ENG01112,Direct Labour,Distinction,Intermediate,Single Skill,Installation,Repair
ENG01113,Contractor,Merit,Beginner,Multi Skill,Installation,Installation
ENG01114,Contractor,Pass,Expert,Multi Skill,Installation,None
ENG01115,Contractor,Pass,Beginner,Multi Skill,Service,None
ENG01116,Contractor,Merit,Intermediate,Single Skill,Installation,Repair
ENG01117,Contractor,Distinction,Beginner,Single Skill,Service,None
ENG01118,Direct Labour,Distinction,Intermediate,Multi Skill,Service,Installation
ENG01119,Direct Labour,Pass,Intermediate,Single Skill,Service,Service
ENG01120,Contractor,Merit,Beginner,Single Skill,Service,Service
ENG01121,Contractor,Distinction,Beginner,Single Skill,Service,Repair
ENG01122,Direct Labour,Distinction,Beginner,Multi Skill,Repair,Service
ENG01123,Direct Labour,Merit,Intermediate,Single Skill,Installation,None
ENG01124,Direct Labour,Distinction,Expert,Multi Skill,Installation,Repair
ENG01125,Direct Labour,Merit,Beginner,Multi Skill,Repair,Service
ENG01126,Direct Labour,Merit,Intermediate,Single Skill,Service,Repair
ENG01127,Contractor,Merit,Beginner,Multi Skill,Installation,Repair
ENG01128,Direct Labour,Distinction,Beginner,Multi Skill,Service,Installation
ENG01129,Contractor,Pass,Beginner,Single Skill,Service,None
ENG01130,Contractor,Distinction,Expert,Multi Skill,Service,Service
ENG01131,Contractor,Distinction,Beginner,Multi Skill,Service,Repair
ENG01132,Direct Labour,Merit,Intermediate,Single Skill,Service,Installation
ENG01133,Direct Labour,Merit,Intermediate,Multi Skill,Installation,Repair
ENG01134,Contractor,Distinction,Expert,Single Skill,Service,None
ENG01135,Direct Labour,Merit,Intermediate,Multi Skill,Service,Repair
ENG01136,Direct Labour,Distinction,Intermediate,Single Skill,Service,None
ENG01137,Direct Labour,Pass,Intermediate,Single Skill,Service,Repair
ENG01138,Contractor,Distinction,Intermediate,Single Skill,Installation,None
ENG01139,Contractor,Pass,Beginner,Multi Skill,Repair,Repair
ENG01140,Contractor,Pass,Beginner,Single Skill,Repair,Installation
ENG01141,Contractor,Pass,Intermediate,Single Skill,Service,Service
ENG01142,Direct Labour,Pass,Beginner,Single Skill,Repair,Installation
ENG01143,Direct Labour,Pass,Expert,Single Skill,Service,Service
ENG01144,Contractor,Merit,Intermediate,Multi Skill,Repair,Repair
ENG01145,Direct Labour,Pass,Expert,Multi Skill,Repair,Repair
ENG01146,Contractor,Pass,Beginner,Multi Skill,Service,Installation
ENG01147,Contractor,Distinction,Expert,Single Skill,Repair,Repair
ENG01148,Direct Labour,Distinction,Intermediate,Single Skill,Repair,Service
ENG01149,Contractor,Distinction,Expert,Multi Skill,Repair,None
ENG01150,Contractor,Distinction,Expert,Multi Skill,Service,None
ENG01151,Direct Labour,Pass,Expert,Single Skill,Installation,Service
ENG01152,Direct Labour,Pass,Expert,Single Skill,Installation,Installation
ENG01153,Contractor,Merit,Intermediate,Single Skill,Service,None
ENG01154,Contractor,Pass,Intermediate,Single Skill,Repair,None
ENG01155,Contractor,Pass,Intermediate,Multi Skill,Repair,Service
ENG01156,Contractor,Merit,Intermediate,Multi Skill,Installation,Repair
ENG01157,Direct Labour,Pass,Expert,Single Skill,Repair,Installation
ENG01158,Direct Labour,Pass,Beginner,Multi Skill,Repair,None
ENG01159,Contractor,Pass,Intermediate,Multi Skill,Service,Repair
ENG01160,Direct Labour,Merit,Beginner,Multi Skill,Installation,None
ENG01161,Direct Labour,Distinction,Intermediate,Multi Skill,Installation,None
ENG01162,Contractor,Pass,Intermediate,Multi Skill,Service,Repair
ENG01163,Direct Labour,Distinction,Beginner,Multi Skill,Repair,None
ENG01164,Contractor,Pass,Intermediate,Multi Skill,Repair,Installation
ENG01165,Contractor,Pass,Expert,Multi Skill,Installation,None
ENG01166,Direct Labour,Merit,Expert,Single Skill,Repair,Service
ENG01167,Direct Labour,Merit,Expert,Single Skill,Service,None
ENG01168,Direct Labour,Distinction,Beginner,Single Skill,Installation,Repair
ENG01169,Direct Labour,Merit,Intermediate,Multi Skill,Service,None
ENG01170,Direct Labour,Merit,Intermediate,Single Skill,Installation,Installation
ENG01171,Direct Labour,Distinction,Intermediate,Multi Skill,Repair,None
ENG01172,Contractor,Distinction,Beginner,Single Skill,Installation,None
ENG01173,Direct Labour,Pass,Intermediate,Multi Skill,Service,Installation
ENG01174,Contractor,Merit,Intermediate,Multi Skill,Installation,Installation
ENG01175,Direct Labour,Pass,Expert,Single Skill,Service,Service
ENG01176,Contractor,Distinction,Beginner,Single Skill,Installation,None
ENG01177,Contractor,Merit,Beginner,Multi Skill,Installation,None
ENG01178,Direct Labour,Distinction,Expert,Multi Skill,Installation,Repair
ENG01179,Contractor,Pass,Beginner,Single Skill,Installation,Service
ENG01180,Direct Labour,Merit,Intermediate,Single Skill,Service,Installation
ENG01181,Contractor,Merit,Beginner,Multi Skill,Repair,Service
ENG01182,Contractor,Merit,Expert,Multi Skill,Installation,Installation
ENG01183,Direct Labour,Distinction,Beginner,Multi Skill,Installation,Repair
ENG01184,Direct Labour,Pass,Expert,Multi Skill,Service,Service
ENG01185,Direct Labour,Merit,Expert,Multi Skill,Installation,Repair
ENG01186,Direct Labour,Pass,Expert,Multi Skill,Service,Installation
ENG01187,Direct Labour,Pass,Intermediate,Single Skill,Installation,None
ENG01188,Contractor,Distinction,Intermediate,Multi Skill,Repair,None
ENG01189,Direct Labour,Merit,Expert,Multi Skill,Service,Installation
ENG01190,Contractor,Merit,Intermediate,Single Skill,Repair,Repair
ENG01191,Direct Labour,Pass,Intermediate,Multi Skill,Repair,Installation
ENG01192,Direct Labour,Pass,Intermediate,Multi Skill,Repair,Repair
ENG01193,Direct Labour,Distinction,Intermediate,Multi Skill,Repair,Service
ENG01194,Direct Labour,Pass,Expert,Multi Skill,Repair,Repair
ENG01195,Contractor,Distinction,Expert,Multi Skill,Installation,Repair
ENG01196,Direct Labour,Distinction,Beginner,Single Skill,Installation,None
ENG01197,Direct Labour,Pass,Beginner,Multi Skill,Service,Installation
ENG01198,Direct Labour,Distinction,Intermediate,Multi Skill,Service,None
ENG01199,Contractor,Merit,Beginner,Multi Skill,Service,Installation
ENG01200,Contractor,Merit,Expert,Single Skill,Service,None
ENG01201,Direct Labour,Merit,Beginner,Single Skill,Installation,Repair
ENG01202,Direct Labour,Pass,Beginner,Multi Skill,Repair,Repair
ENG01203,Contractor,Distinction,Intermediate,Multi Skill,Service,Installation
ENG01204,Direct Labour,Merit,Beginner,Multi Skill,Service,Installation
ENG01205,Contractor,Distinction,Expert,Single Skill,Service,None
ENG01206,Contractor,Pass,Beginner,Multi Skill,Service,Repair
ENG01207,Contractor,Distinction,Intermediate,Single Skill,Installation,Repair
ENG01208,Direct Labour,Pass,Expert,Multi Skill,Service,Service
ENG01209,Direct Labour,Pass,Expert,Multi Skill,Service,Repair
ENG01210,Direct Labour,Pass,Expert,Multi Skill,Installation,Service
ENG01211,Contractor,Pass,Expert,Multi Skill,Installation,Installation
ENG01212,Contractor,Merit,Expert,Multi Skill,Service,None
ENG01213,Contractor,Pass,Expert,Single Skill,Repair,None
ENG01214,Contractor,Merit,Expert,Multi Skill,Repair,Repair
ENG01215,Direct Labour,Merit,Expert,Multi Skill,Repair,Installation
ENG01216,Contractor,Distinction,Beginner,Multi Skill,Installation,Repair
