date,region,job_type,detailed_category,number_of_jobs,jobs_hours
2026-07-19,North East,Repair,Leak,340,552
2026-07-20,North East,Repair,Annual Service,151,450
2026-07-21,North East,Service,Annual Service,337,642
2026-07-22,North East,Service,Annual Service,388,394
2026-07-23,North East,Repair,Boiler Breakdown,388,228
2026-07-24,North East,Service,Leak,216,956
2026-07-25,North East,Service,Leak,273,908
2026-07-26,North East,Repair,Boiler Breakdown,422,318
2026-07-27,North East,Repair,Leak,480,606
2026-07-28,North East,Service,Annual Service,354,804
2026-07-29,North East,Service,Annual Service,450,399
2026-07-30,North East,Service,Leak,196,577
2026-07-31,North East,Service,Boiler Breakdown,209,308
2026-08-01,North East,Repair,Leak,339,985
2026-08-02,North East,Repair,Boiler Breakdown,498,678
2026-08-03,North East,Repair,Boiler Breakdown,296,435
2026-08-04,North East,Repair,Boiler Breakdown,449,252
2026-08-05,North East,Service,Leak,243,333
2026-08-07,North East,Service,Annual Service,415,705
2026-08-08,North East,Service,Boiler Breakdown,199,706
2026-08-09,North East,Service,Boiler Breakdown,261,467
2026-08-10,North East,Service,Boiler Breakdown,420,509
2026-08-11,North East,Service,Annual Service,298,749
2026-08-12,North East,Repair,Leak,299,469
2026-08-13,North East,Service,Boiler Breakdown,137,302
2026-08-14,North East,Repair,Boiler Breakdown,171,520
2026-08-15,North East,Repair,Boiler Breakdown,141,841
2026-08-16,North East,Repair,Boiler Breakdown,275,763
2026-08-17,North East,Repair,Boiler Breakdown,455,658
2026-08-18,North East,Repair,Annual Service,155,430
2026-08-19,North East,Service,Leak,488,525
2026-08-20,North East,Service,Leak,153,548
2026-08-21,North East,Repair,Leak,314,232
2026-08-22,North East,Service,Leak,436,252
2026-08-23,North East,Service,Leak,245,866
2026-08-24,North East,Repair,Boiler Breakdown,495,412
2026-08-25,North East,Repair,Leak,288,803
2026-08-26,North East,Repair,Boiler Breakdown,382,769
2026-08-27,North East,Repair,Leak,457,381
2026-08-28,North East,Service,Annual Service,314,831
2026-08-29,North East,Repair,Annual Service,224,946
2026-08-30,North East,Repair,Annual Service,491,679
2026-08-31,North East,Service,Boiler Breakdown,473,208
2026-09-01,North East,Repair,Annual Service,345,962
2026-09-02,North East,Service,Annual Service,273,500
2026-09-03,North East,Repair,Leak,329,553
2026-09-04,North East,Service,Annual Service,240,590
2026-09-05,North East,Service,Leak,500,670
2026-09-06,North East,Repair,Leak,221,644
2026-09-07,North East,Service,Leak,211,597
2026-09-08,North East,Service,Leak,257,507
2026-09-09,North East,Service,Boiler Breakdown,316,216
2026-09-10,North East,Repair,Annual Service,300,880
2026-09-11,North East,Repair,Boiler Breakdown,223,410
2026-09-12,North East,Service,Leak,281,584
2026-09-13,North East,Service,Boiler Breakdown,113,435
2026-09-14,North East,Service,Boiler Breakdown,361,444
2026-09-15,North East,Service,Boiler Breakdown,402,991
2026-09-16,North East,Repair,Leak,141,554
2026-09-17,North East,Repair,Boiler Breakdown,425,592
2026-09-18,North East,Repair,Leak,341,510
2026-09-19,North East,Service,Annual Service,360,468
2026-09-20,North East,Repair,Leak,152,644
2026-09-21,North East,Repair,Leak,352,649
2026-09-22,North East,Service,Leak,347,452
2026-09-23,North East,Service,Annual Service,206,723
2026-09-24,North East,Service,Annual Service,485,715
2026-09-25,North East,Repair,Annual Service,105,491
2026-09-26,North East,Repair,Leak,161,827
2026-09-27,North East,Service,Boiler Breakdown,479,221
2026-09-28,North East,Repair,Leak,247,486
2026-09-29,North East,Service,Leak,283,238
2026-09-30,North East,Service,Leak,435,587
2026-10-01,North East,Repair,Leak,356,676
2026-10-02,North East,Service,Boiler Breakdown,390,292
2026-10-03,North East,Repair,Annual Service,458,710
2026-10-04,North East,Repair,Leak,418,562
2026-10-05,North East,Service,Boiler Breakdown,428,875
2026-10-06,North East,Repair,Leak,280,623
2026-10-07,North East,Repair,Annual Service,371,931
2026-10-08,North East,Service,Leak,344,408
2026-10-09,North East,Repair,Annual Service,206,638
2026-10-10,North East,Repair,Leak,369,344
2026-10-11,North East,Repair,Leak,180,473
2026-10-12,North East,Service,Annual Service,372,968
2026-10-13,North East,Service,Leak,397,456
2026-10-14,North East,Repair,Leak,196,861
2026-10-15,North East,Service,Annual Service,425,213
2026-10-16,North East,Repair,Annual Service,287,412
2026-10-17,North East,Repair,Boiler Breakdown,221,552
2026-10-18,North East,Service,Annual Service,487,838
2026-10-19,North East,Repair,Annual Service,356,710
2026-10-20,North East,Service,Annual Service,388,455
2026-10-21,North East,Repair,Annual Service,289,734
2026-10-22,North East,Service,Annual Service,457,661
2026-10-23,North East,Service,Leak,234,638
2026-10-24,North East,Service,Boiler Breakdown,281,538
2026-10-25,North East,Service,Leak,430,509
2026-10-26,North East,Service,Boiler Breakdown,305,200
2026-10-27,North East,Repair,Leak,139,555
2026-10-28,North East,Service,Leak,373,562
2026-10-29,North East,Service,Annual Service,286,245
2026-07-09,Yorkshire,Repair,Annual Service,393,812
2026-07-10,Yorkshire,Repair,Annual Service,196,270
2026-07-11,Yorkshire,Service,Boiler Breakdown,143,988
2026-07-12,Yorkshire,Repair,Leak,148,597
2026-07-13,Yorkshire,Service,Leak,129,200
2026-07-14,Yorkshire,Service,Boiler Breakdown,384,565
2026-07-15,Yorkshire,Service,Leak,228,913
2026-07-16,Yorkshire,Repair,Boiler Breakdown,254,937
2026-07-17,Yorkshire,Repair,Annual Service,395,598
2026-07-18,Yorkshire,Service,Boiler Breakdown,359,316
2026-07-19,Yorkshire,Service,Boiler Breakdown,329,705
2026-07-20,Yorkshire,Service,Boiler Breakdown,105,853
2026-07-21,Yorkshire,Repair,Boiler Breakdown,364,780
2026-07-22,Yorkshire,Service,Annual Service,382,487
2026-07-23,Yorkshire,Repair,Boiler Breakdown,216,999
2026-07-24,Yorkshire,Service,Annual Service,493,450
2026-07-25,Yorkshire,Service,Boiler Breakdown,222,430
2026-07-26,Yorkshire,Service,Annual Service,380,486
2026-07-27,Yorkshire,Service,Leak,464,663
2026-07-28,Yorkshire,Service,Annual Service,494,884
2026-07-29,Yorkshire,Service,Leak,207,366
2026-07-30,Yorkshire,Service,Leak,271,358
2026-07-31,Yorkshire,Service,Annual Service,268,978
2026-08-01,Yorkshire,Repair,Boiler Breakdown,140,493
2026-08-02,Yorkshire,Repair,Leak,125,975
2026-08-03,Yorkshire,Repair,Boiler Breakdown,382,209
2026-08-04,Yorkshire,Repair,Leak,291,437
2026-08-05,Yorkshire,Service,Leak,155,410
2026-08-07,Yorkshire,Service,Annual Service,476,436
2026-08-08,Yorkshire,Service,Leak,391,457
2026-08-09,Yorkshire,Repair,Leak,169,821
2026-08-10,Yorkshire,Service,Annual Service,280,252
2026-08-11,Yorkshire,Repair,Boiler Breakdown,388,719
2026-08-12,Yorkshire,Repair,Leak,176,218
2026-08-13,Yorkshire,Repair,Annual Service,132,815
2026-08-14,Yorkshire,Repair,Annual Service,289,214
2026-08-15,Yorkshire,Repair,Boiler Breakdown,433,559
2026-08-16,Yorkshire,Repair,Boiler Breakdown,375,357
2026-08-17,Yorkshire,Repair,Annual Service,347,464
2026-08-18,Yorkshire,Repair,Boiler Breakdown,167,601
2026-08-19,Yorkshire,Repair,Leak,436,200
2026-08-20,Yorkshire,Service,Leak,147,624
2026-08-21,Yorkshire,Service,Leak,109,758
2026-08-22,Yorkshire,Repair,Boiler Breakdown,420,791
2026-08-23,Yorkshire,Repair,Boiler Breakdown,415,280
2026-08-24,Yorkshire,Service,Leak,427,497
2026-08-25,Yorkshire,Repair,Annual Service,405,863
2026-08-26,Yorkshire,Repair,Leak,464,465
2026-08-27,Yorkshire,Repair,Annual Service,237,207
2026-08-28,Yorkshire,Repair,Boiler Breakdown,346,632
2026-08-29,Yorkshire,Repair,Annual Service,309,405
2026-08-30,Yorkshire,Service,Boiler Breakdown,169,397
2026-08-31,Yorkshire,Repair,Leak,242,337
2026-09-01,Yorkshire,Service,Leak,110,462
2026-09-02,Yorkshire,Service,Annual Service,116,611
2026-09-03,Yorkshire,Repair,Leak,288,421
2026-09-04,Yorkshire,Repair,Leak,377,347
2026-09-05,Yorkshire,Repair,Boiler Breakdown,319,620
2026-09-06,Yorkshire,Repair,Leak,309,762
2026-09-07,Yorkshire,Repair,Annual Service,114,460
2026-09-08,Yorkshire,Service,Leak,385,704
2026-09-09,Yorkshire,Service,Annual Service,257,539
2026-09-10,Yorkshire,Repair,Annual Service,363,778
2026-09-11,Yorkshire,Repair,Boiler Breakdown,343,613
2026-09-12,Yorkshire,Repair,Leak,101,977
2026-09-13,Yorkshire,Service,Boiler Breakdown,336,567
2026-09-14,Yorkshire,Repair,Boiler Breakdown,107,763
2026-09-15,Yorkshire,Service,Annual Service,411,920
2026-09-16,Yorkshire,Repair,Boiler Breakdown,266,943
2026-09-17,Yorkshire,Service,Leak,144,613
2026-09-18,Yorkshire,Repair,Boiler Breakdown,179,497
2026-09-19,Yorkshire,Service,Annual Service,347,593
2026-09-20,Yorkshire,Repair,Boiler Breakdown,454,252
2026-09-21,Yorkshire,Repair,Boiler Breakdown,341,870
2026-09-22,Yorkshire,Service,Boiler Breakdown,169,938
2026-09-23,Yorkshire,Repair,Leak,103,611
2026-09-24,Yorkshire,Repair,Boiler Breakdown,338,725
2026-09-25,Yorkshire,Service,Boiler Breakdown,310,834
2026-09-26,Yorkshire,Service,Annual Service,365,895
2026-09-27,Yorkshire,Service,Leak,391,760
2026-09-28,Yorkshire,Service,Annual Service,197,845
2026-09-29,Yorkshire,Repair,Boiler Breakdown,389,504
2026-09-30,Yorkshire,Repair,Annual Service,420,804
2026-10-01,Yorkshire,Repair,Leak,117,408
2026-10-02,Yorkshire,Repair,Annual Service,403,419
2026-10-03,Yorkshire,Repair,Annual Service,449,712
2026-10-04,Yorkshire,Repair,Boiler Breakdown,430,596
2026-10-05,Yorkshire,Repair,Boiler Breakdown,395,563
2026-10-06,Yorkshire,Service,Boiler Breakdown,235,628
2026-10-07,Yorkshire,Service,Annual Service,449,272
2026-10-08,Yorkshire,Service,Leak,183,598
2026-10-09,Yorkshire,Service,Annual Service,100,908
2026-10-10,Yorkshire,Service,Annual Service,128,320
2026-10-11,Yorkshire,Repair,Leak,245,292
2026-10-12,Yorkshire,Service,Annual Service,134,897
2026-10-13,Yorkshire,Service,Annual Service,397,953
2026-10-14,Yorkshire,Repair,Leak,343,481
2026-10-15,Yorkshire,Repair,Leak,431,243
2026-10-16,Yorkshire,Repair,Boiler Breakdown,290,245
2026-10-17,Yorkshire,Service,Boiler Breakdown,268,771
2026-10-18,Yorkshire,Service,Boiler Breakdown,288,858
2026-10-19,Yorkshire,Service,Boiler Breakdown,253,456
2026-10-20,Yorkshire,Service,Leak,206,461
2026-10-21,Yorkshire,Repair,Annual Service,436,311
2026-10-22,Yorkshire,Service,Boiler Breakdown,276,881
2026-10-23,Yorkshire,Repair,Annual Service,489,797
2026-10-24,Yorkshire,Service,Leak,359,634
2026-10-25,Yorkshire,Repair,Annual Service,399,344
2026-10-26,Yorkshire,Service,Boiler Breakdown,184,263
2026-10-27,Yorkshire,Repair,Annual Service,417,804
2026-10-28,Yorkshire,Repair,Boiler Breakdown,379,654
2026-10-29,Yorkshire,Service,Boiler Breakdown,415,521
2026-07-09,Wales,Service,Leak,260,456
2026-07-10,Wales,Service,Annual Service,103,653
2026-07-11,Wales,Repair,Leak,129,474
2026-07-12,Wales,Repair,Boiler Breakdown,193,491
2026-07-13,Wales,Repair,Leak,167,500
2026-07-14,Wales,Service,Leak,164,607
2026-07-15,Wales,Repair,Leak,499,547
2026-07-16,Wales,Repair,Boiler Breakdown,269,422
2026-07-17,Wales,Service,Leak,471,207
2026-07-18,Wales,Service,Annual Service,257,915
2026-07-19,Wales,Service,Annual Service,141,553
2026-07-20,Wales,Service,Leak,213,263
2026-07-21,Wales,Service,Leak,165,455
2026-07-22,Wales,Service,Boiler Breakdown,229,621
2026-07-23,Wales,Service,Annual Service,467,469
2026-07-24,Wales,Repair,Boiler Breakdown,211,732
2026-07-25,Wales,Repair,Annual Service,401,779
2026-07-26,Wales,Service,Boiler Breakdown,243,377
2026-07-27,Wales,Service,Boiler Breakdown,187,567
2026-07-28,Wales,Repair,Leak,289,994
2026-07-29,Wales,Service,Annual Service,240,839
2026-07-30,Wales,Repair,Leak,451,809
2026-07-31,Wales,Repair,Annual Service,280,335
2026-08-01,Wales,Repair,Annual Service,307,996
2026-08-02,Wales,Repair,Leak,188,638
2026-08-03,Wales,Service,Boiler Breakdown,153,661
2026-08-04,Wales,Service,Leak,152,826
2026-08-05,Wales,Repair,Boiler Breakdown,153,768
2026-08-07,Wales,Repair,Annual Service,474,413
2026-08-08,Wales,Repair,Annual Service,196,815
2026-08-09,Wales,Repair,Leak,299,903
2026-08-10,Wales,Service,Leak,482,473
2026-08-11,Wales,Repair,Annual Service,343,247
2026-08-12,Wales,Service,Leak,208,361
2026-08-13,Wales,Repair,Boiler Breakdown,248,781
2026-08-14,Wales,Service,Boiler Breakdown,276,213
2026-08-15,Wales,Repair,Annual Service,123,372
2026-08-16,Wales,Service,Boiler Breakdown,108,952
2026-08-17,Wales,Service,Boiler Breakdown,461,262
2026-08-18,Wales,Repair,Leak,155,398
2026-08-19,Wales,Repair,Annual Service,474,905
2026-08-20,Wales,Repair,Annual Service,381,322
2026-08-21,Wales,Repair,Annual Service,219,365
2026-08-22,Wales,Service,Annual Service,377,940
2026-08-23,Wales,Repair,Leak,336,422
2026-08-24,Wales,Service,Boiler Breakdown,302,548
2026-08-25,Wales,Repair,Annual Service,408,432
2026-08-26,Wales,Repair,Leak,191,454
2026-08-27,Wales,Repair,Boiler Breakdown,222,874
2026-08-28,Wales,Repair,Leak,196,993
2026-08-29,Wales,Repair,Boiler Breakdown,353,468
2026-08-30,Wales,Service,Boiler Breakdown,404,284
2026-08-31,Wales,Service,Leak,161,940
2026-09-01,Wales,Service,Annual Service,226,321
2026-09-02,Wales,Service,Boiler Breakdown,271,524
2026-09-03,Wales,Service,Boiler Breakdown,274,471
2026-09-04,Wales,Repair,Boiler Breakdown,323,967
2026-09-05,Wales,Service,Annual Service,180,999
2026-09-06,Wales,Repair,Leak,404,520
2026-09-07,Wales,Service,Boiler Breakdown,102,520
2026-09-08,Wales,Service,Annual Service,461,874
2026-09-09,Wales,Repair,Leak,299,573
2026-09-10,Wales,Repair,Boiler Breakdown,139,666
2026-09-11,Wales,Service,Annual Service,211,268
2026-09-12,Wales,Service,Annual Service,209,543
2026-09-13,Wales,Repair,Annual Service,335,281
2026-09-14,Wales,Service,Leak,125,203
2026-09-15,Wales,Repair,Boiler Breakdown,198,777
2026-09-16,Wales,Service,Annual Service,298,200
2026-09-17,Wales,Repair,Boiler Breakdown,353,731
2026-09-18,Wales,Repair,Annual Service,105,418
2026-09-19,Wales,Service,Annual Service,274,594
2026-09-20,Wales,Service,Leak,169,760
2026-09-21,Wales,Service,Annual Service,249,791
2026-09-22,Wales,Repair,Boiler Breakdown,329,640
2026-09-23,Wales,Repair,Annual Service,267,604
2026-09-24,Wales,Repair,Boiler Breakdown,233,831
2026-09-25,Wales,Service,Annual Service,308,276
2026-09-26,Wales,Repair,Annual Service,323,761
2026-09-27,Wales,Service,Boiler Breakdown,261,356
2026-09-28,Wales,Repair,Annual Service,266,315
2026-09-29,Wales,Repair,Boiler Breakdown,113,938
2026-09-30,Wales,Repair,Annual Service,363,748
2026-10-01,Wales,Service,Annual Service,369,824
2026-10-02,Wales,Repair,Annual Service,399,628
2026-10-03,Wales,Repair,Annual Service,115,514
2026-10-04,Wales,Repair,Boiler Breakdown,466,410
2026-10-05,Wales,Service,Leak,120,631
2026-10-06,Wales,Repair,Boiler Breakdown,137,516
2026-10-07,Wales,Service,Boiler Breakdown,167,729
2026-10-08,Wales,Service,Annual Service,221,722
2026-10-09,Wales,Service,Leak,405,678
2026-10-10,Wales,Repair,Boiler Breakdown,126,448
2026-10-11,Wales,Service,Boiler Breakdown,220,355
2026-10-12,Wales,Service,Annual Service,415,402
2026-10-13,Wales,Service,Boiler Breakdown,363,947
2026-10-14,Wales,Service,Leak,144,951
2026-10-15,Wales,Repair,Leak,467,657
2026-10-16,Wales,Service,Boiler Breakdown,197,432
2026-10-17,Wales,Service,Leak,252,465
2026-10-18,Wales,Service,Boiler Breakdown,119,460
2026-10-19,Wales,Service,Annual Service,449,838
2026-10-20,Wales,Service,Boiler Breakdown,273,722
2026-10-21,Wales,Repair,Boiler Breakdown,123,483
2026-10-22,Wales,Repair,Leak,461,943
2026-10-23,Wales,Service,Leak,478,765
2026-10-24,Wales,Service,Leak,163,762
2026-10-25,Wales,Repair,Annual Service,324,937
2026-10-26,Wales,Repair,Annual Service,115,853
2026-10-27,Wales,Service,Annual Service,344,383
2026-10-28,Wales,Repair,Annual Service,264,685
2026-10-29,Wales,Repair,Leak,463,480
2026-07-09,Scotland,Repair,Leak,464,632
2026-07-10,Scotland,Repair,Annual Service,434,420
2026-07-11,Scotland,Repair,Leak,337,889
2026-07-12,Scotland,Repair,Annual Service,414,438
2026-07-13,Scotland,Service,Annual Service,474,739
2026-07-14,Scotland,Service,Boiler Breakdown,370,457
2026-07-15,Scotland,Service,Boiler Breakdown,233,464
2026-07-16,Scotland,Repair,Leak,195,747
2026-07-17,Scotland,Repair,Boiler Breakdown,490,626
2026-07-18,Scotland,Service,Annual Service,449,918
2026-07-19,Scotland,Repair,Annual Service,272,231
2026-07-20,Scotland,Service,Leak,329,445
2026-07-21,Scotland,Service,Annual Service,472,312
2026-07-22,Scotland,Repair,Annual Service,453,640
2026-07-23,Scotland,Repair,Leak,123,555
2026-07-24,Scotland,Repair,Leak,171,704
2026-07-25,Scotland,Service,Leak,371,237
2026-07-26,Scotland,Service,Annual Service,202,902
2026-07-27,Scotland,Repair,Annual Service,267,316
2026-07-28,Scotland,Repair,Boiler Breakdown,334,623
2026-07-29,Scotland,Service,Leak,469,704
2026-07-30,Scotland,Service,Leak,342,909
2026-07-31,Scotland,Service,Leak,240,972
2026-08-01,Scotland,Repair,Annual Service,385,410
2026-08-02,Scotland,Service,Leak,305,439
2026-08-03,Scotland,Repair,Boiler Breakdown,138,938
2026-08-04,Scotland,Repair,Leak,391,458
2026-08-05,Scotland,Service,Annual Service,497,655
2026-08-07,Scotland,Service,Annual Service,367,674
2026-08-08,Scotland,Repair,Leak,297,806
2026-08-09,Scotland,Service,Boiler Breakdown,322,807
2026-08-10,Scotland,Service,Leak,311,593
2026-08-11,Scotland,Service,Boiler Breakdown,359,937
2026-08-12,Scotland,Repair,Leak,222,913
2026-08-13,Scotland,Repair,Boiler Breakdown,423,261
2026-08-14,Scotland,Service,Leak,313,479
2026-08-15,Scotland,Repair,Boiler Breakdown,366,263
2026-08-16,Scotland,Service,Leak,197,601
2026-08-17,Scotland,Service,Leak,433,589
2026-08-18,Scotland,Service,Boiler Breakdown,450,475
2026-08-19,Scotland,Repair,Annual Service,431,619
2026-08-20,Scotland,Repair,Annual Service,247,672
2026-08-21,Scotland,Repair,Annual Service,392,657
2026-08-22,Scotland,Service,Leak,420,227
2026-08-23,Scotland,Service,Boiler Breakdown,207,827
2026-08-24,Scotland,Service,Boiler Breakdown,234,843
2026-08-25,Scotland,Repair,Boiler Breakdown,405,654
2026-08-26,Scotland,Service,Annual Service,485,918
2026-08-27,Scotland,Service,Annual Service,327,284
2026-08-28,Scotland,Service,Annual Service,417,331
2026-08-29,Scotland,Repair,Annual Service,491,473
2026-08-30,Scotland,Service,Leak,489,464
2026-08-31,Scotland,Service,Leak,334,684
2026-09-01,Scotland,Repair,Leak,345,386
2026-09-02,Scotland,Repair,Boiler Breakdown,447,466
2026-09-03,Scotland,Repair,Leak,296,567
2026-09-04,Scotland,Service,Leak,351,554
2026-09-05,Scotland,Service,Annual Service,295,217
2026-09-06,Scotland,Service,Annual Service,476,892
2026-09-07,Scotland,Service,Annual Service,417,991
2026-09-08,Scotland,Service,Annual Service,297,644
2026-09-09,Scotland,Service,Boiler Breakdown,321,862
2026-09-10,Scotland,Service,Boiler Breakdown,135,676
2026-09-11,Scotland,Service,Boiler Breakdown,461,284
2026-09-12,Scotland,Repair,Leak,225,834
2026-09-13,Scotland,Service,Leak,388,987
2026-09-14,Scotland,Repair,Annual Service,382,375
2026-09-15,Scotland,Repair,Leak,325,558
2026-09-16,Scotland,Service,Leak,417,957
2026-09-17,Scotland,Service,Annual Service,426,527
2026-09-18,Scotland,Repair,Boiler Breakdown,223,540
2026-09-19,Scotland,Repair,Annual Service,304,658
2026-09-20,Scotland,Repair,Boiler Breakdown,281,343
2026-09-21,Scotland,Repair,Leak,233,585
2026-09-22,Scotland,Service,Annual Service,454,727
2026-09-23,Scotland,Repair,Annual Service,474,659
2026-09-24,Scotland,Service,Annual Service,233,787
2026-09-25,Scotland,Repair,Annual Service,337,763
2026-09-26,Scotland,Service,Annual Service,214,335
2026-09-27,Scotland,Repair,Leak,207,969
2026-09-28,Scotland,Repair,Boiler Breakdown,183,750
2026-09-29,Scotland,Service,Leak,200,901
2026-09-30,Scotland,Repair,Leak,479,824
2026-10-01,Scotland,Repair,Annual Service,130,228
2026-10-02,Scotland,Repair,Boiler Breakdown,237,275
2026-10-03,Scotland,Repair,Boiler Breakdown,254,627
2026-10-04,Scotland,Service,Boiler Breakdown,317,201
2026-10-05,Scotland,Repair,Annual Service,243,478
2026-10-06,Scotland,Service,Leak,457,626
2026-10-07,Scotland,Service,Leak,342,958
2026-10-08,Scotland,Repair,Leak,167,896
2026-10-09,Scotland,Service,Annual Service,459,657
2026-10-10,Scotland,Service,Leak,270,610
2026-10-11,Scotland,Repair,Leak,185,317
2026-10-12,Scotland,Service,Annual Service,213,825
2026-10-13,Scotland,Service,Leak,301,931
2026-10-14,Scotland,Service,Boiler Breakdown,356,560
2026-10-15,Scotland,Repair,Leak,496,576
2026-10-16,Scotland,Repair,Annual Service,225,556
2026-10-17,Scotland,Service,Leak,235,359
2026-10-18,Scotland,Repair,Annual Service,183,348
2026-10-19,Scotland,Repair,Annual Service,397,790
2026-10-20,Scotland,Service,Annual Service,187,361
2026-10-21,Scotland,Repair,Boiler Breakdown,175,526
2026-10-22,Scotland,Repair,Boiler Breakdown,447,742
2026-10-23,Scotland,Service,Annual Service,122,323
2026-10-24,Scotland,Repair,Annual Service,182,271
2026-10-25,Scotland,Repair,Leak,379,752
2026-10-26,Scotland,Service,Annual Service,193,826
2026-10-27,Scotland,Repair,Leak,147,222
2026-10-28,Scotland,Service,Annual Service,373,671
2026-10-29,Scotland,Repair,Leak,456,506
